future,accuracy,roc,f1,precision,recall
F_AD,1.0,1.0,1.0,1.0,1.0
F_BO,0.9956709956709957,0.9954545454545455,0.995433789954338,1.0,0.990909090909091
F_BP,0.9913419913419913,0.9903846153846154,0.9902912621359222,1.0,0.9807692307692307
F_C,1.0,1.0,1.0,1.0,1.0
F_CC,0.987012987012987,0.9869565217391305,0.986784140969163,1.0,0.9739130434782609
F_CD,1.0,1.0,1.0,1.0,1.0
F_CL,1.0,1.0,1.0,1.0,1.0
F_CT,0.9653679653679653,0.9658119658119658,0.9646017699115045,1.0,0.9316239316239316
F_DX,0.9873417721518988,0.9864864864864865,0.988235294117647,0.9767441860465116,1.0
F_EC,1.0,1.0,1.0,1.0,1.0
F_ED,1.0,1.0,1.0,1.0,1.0
F_ES,1.0,1.0,1.0,1.0,1.0
F_FC,1.0,1.0,1.0,1.0,1.0
F_FV,1.0,1.0,1.0,1.0,1.0
F_GC,0.9956709956709957,0.995049504950495,0.9961685823754789,0.9923664122137404,1.0
F_HG,1.0,1.0,1.0,1.0,1.0
F_HO,1.0,1.0,1.0,1.0,1.0
F_JY,0.9956709956709957,0.9954128440366973,0.9953917050691244,1.0,0.9908256880733946
F_KC,0.9653679653679653,0.9663865546218487,0.9652173913043478,1.0,0.9327731092436975
F_LB,0.9913419913419913,0.9908256880733946,0.9907407407407407,1.0,0.981651376146789
F_LC,1.0,1.0,1.0,1.0,1.0
F_LN,0.9913419913419913,0.9917355371900827,0.9909909909909909,0.9821428571428571,1.0
F_MD,1.0,1.0,1.0,1.0,1.0
F_MP,0.935064935064935,0.9380165289256198,0.9339207048458149,1.0,0.8760330578512396
F_NG,1.0,1.0,1.0,1.0,1.0
F_NQ,1.0,1.0,1.0,1.0,1.0
F_NR,0.9826839826839827,0.983739837398374,0.9834710743801653,1.0,0.967479674796748
F_O,1.0,1.0,1.0,1.0,1.0
F_OJ,0.9567099567099567,0.956140350877193,0.9541284403669724,1.0,0.9122807017543859
F_PA,1.0,1.0,1.0,1.0,1.0
F_PL,1.0,1.0,1.0,1.0,1.0
F_RB,1.0,1.0,1.0,1.0,1.0
F_RU,0.9913419913419913,0.9921259842519685,0.9920634920634921,1.0,0.984251968503937
F_S,1.0,1.0,1.0,1.0,1.0
F_SB,0.948051948051948,0.9439252336448598,0.9405940594059405,1.0,0.8878504672897196
F_SF,1.0,1.0,1.0,1.0,1.0
F_SI,1.0,1.0,1.0,1.0,1.0
F_SM,1.0,1.0,1.0,1.0,1.0
F_TU,0.9913419913419913,0.990990990990991,0.9909090909090909,1.0,0.9819819819819819
F_TY,1.0,1.0,1.0,1.0,1.0
F_US,1.0,1.0,1.0,1.0,1.0
F_W,1.0,1.0,1.0,1.0,1.0
F_XX,1.0,1.0,1.0,1.0,1.0
F_YM,1.0,1.0,1.0,1.0,1.0
F_AX,1.0,1.0,1.0,1.0,1.0
F_CA,1.0,1.0,1.0,1.0,1.0
F_DT,1.0,1.0,1.0,1.0,1.0
F_UB,1.0,1.0,1.0,1.0,1.0
F_UZ,1.0,1.0,1.0,1.0,1.0
F_GS,0.9828326180257511,0.9844961240310077,0.9842519685039369,1.0,0.9689922480620154
F_LX,1.0,1.0,1.0,1.0,1.0
F_SS,1.0,1.0,1.0,1.0,1.0
F_DL,1.0,1.0,1.0,1.0,1.0
F_ZQ,0.9567099567099567,0.9375,0.9333333333333333,1.0,0.875
F_VX,0.9789029535864979,0.9722222222222222,0.9714285714285714,1.0,0.9444444444444444
F_AE,1.0,1.0,1.0,1.0,1.0
F_BG,1.0,1.0,1.0,1.0,1.0
F_BC,0.9873417721518988,0.9859813084112149,0.988593155893536,0.9774436090225563,1.0
F_LU,1.0,1.0,1.0,1.0,1.0
F_DM,0.9914893617021276,0.9894736842105264,0.9929078014184397,0.9859154929577465,1.0
F_AH,1.0,1.0,1.0,1.0,1.0
F_CF,1.0,1.0,1.0,1.0,1.0
F_DZ,1.0,1.0,1.0,1.0,1.0
F_FB,1.0,1.0,1.0,1.0,1.0
F_FL,1.0,1.0,1.0,1.0,1.0
F_FM,1.0,1.0,1.0,1.0,1.0
F_FP,0.9951923076923077,0.9954954954954955,0.9954751131221719,1.0,0.990990990990991
F_FY,1.0,1.0,1.0,1.0,1.0
F_GX,1.0,1.0,1.0,1.0,1.0
F_HP,1.0,1.0,1.0,1.0,1.0
F_LR,1.0,1.0,1.0,1.0,1.0
F_LQ,1.0,1.0,1.0,1.0,1.0
F_ND,1.0,1.0,1.0,1.0,1.0
F_NY,1.0,1.0,1.0,1.0,1.0
F_PQ,0.9950248756218906,0.9943820224719101,0.9955555555555555,0.9911504424778761,1.0
F_RR,1.0,1.0,1.0,1.0,1.0
F_RF,0.9956709956709957,0.9951456310679612,0.9951219512195122,1.0,0.9902912621359223
F_RP,0.9956709956709957,0.9959677419354839,0.9959514170040485,1.0,0.9919354838709677
F_RY,0.987012987012987,0.9858490566037736,0.985645933014354,1.0,0.9716981132075472
F_SH,1.0,1.0,1.0,1.0,1.0
F_SX,1.0,1.0,1.0,1.0,1.0
F_TR,1.0,1.0,1.0,1.0,1.0
F_EB,1.0,1.0,1.0,1.0,1.0
F_VF,1.0,1.0,1.0,1.0,1.0
F_VT,1.0,1.0,1.0,1.0,1.0
F_VW,1.0,1.0,1.0,1.0,1.0
F_GD,0.9861111111111112,0.9876033057851239,0.9874476987447699,1.0,0.9752066115702479
F_F,1.0,1.0,1.0,1.0,1.0
