future,accuracy,roc,f1,precision,recall
F_AD,0.9956709956709957,0.9957983193277311,0.9955555555555555,0.9911504424778761,1.0
F_BO,1.0,1.0,1.0,1.0,1.0
F_BP,0.9826839826839827,0.9816399152029074,0.9805825242718447,0.9901960784313726,0.9711538461538461
F_C,0.9956709956709957,0.9957264957264957,0.9957081545064378,1.0,0.9914529914529915
F_CC,0.987012987012987,0.9869565217391305,0.986784140969163,1.0,0.9739130434782609
F_CD,0.9956709956709957,0.9955357142857143,0.9955156950672646,1.0,0.9910714285714286
F_CL,0.9913419913419913,0.9912698412698413,0.9920634920634921,0.9920634920634921,0.9920634920634921
F_CT,0.961038961038961,0.9615384615384616,0.9600000000000001,1.0,0.9230769230769231
F_DX,0.9746835443037974,0.972972972972973,0.9767441860465117,0.9545454545454546,1.0
F_EC,1.0,1.0,1.0,1.0,1.0
F_ED,0.9956709956709957,0.995575221238938,0.9955555555555555,1.0,0.9911504424778761
F_ES,1.0,1.0,1.0,1.0,1.0
F_FC,0.9913419913419913,0.9911504424778761,0.9910714285714286,1.0,0.9823008849557522
F_FV,1.0,1.0,1.0,1.0,1.0
F_GC,0.9956709956709957,0.995049504950495,0.9961685823754789,0.9923664122137404,1.0
F_HG,1.0,1.0,1.0,1.0,1.0
F_HO,0.9873417721518988,0.9870714285714286,0.9880478087649401,0.9841269841269841,0.992
F_JY,0.9956709956709957,0.9954128440366973,0.9953917050691244,1.0,0.9908256880733946
F_KC,0.9696969696969697,0.9705882352941176,0.9696969696969697,1.0,0.9411764705882353
F_LB,0.9913419913419913,0.9908256880733946,0.9907407407407407,1.0,0.981651376146789
F_LC,0.9783549783549783,0.9778761061946903,0.979253112033195,0.959349593495935,1.0
F_LN,0.987012987012987,0.9871900826446283,0.9864253393665158,0.9819819819819819,0.990909090909091
F_MD,0.9956709956709957,0.9961832061068703,0.9961685823754789,1.0,0.9923664122137404
F_MP,0.935064935064935,0.9380165289256198,0.9339207048458149,1.0,0.8760330578512396
F_NG,1.0,1.0,1.0,1.0,1.0
