future,accuracy,roc,f1,precision,recall
F_AD,0.48484848484848486,0.5,0.653061224489796,0.48484848484848486,1.0
F_BO,0.5281385281385281,0.5066115702479339,0.09917355371900825,0.5454545454545454,0.05454545454545454
F_BP,0.4675324675324675,0.5009463961235615,0.5858585858585859,0.45077720207253885,0.8365384615384616
F_C,0.5367965367965368,0.5412730544309491,0.3006535947712418,0.6388888888888888,0.19658119658119658
F_CC,0.5281385281385281,0.5260869565217391,0.09917355371900827,1.0,0.05217391304347826
F_CD,0.5151515151515151,0.5,0.0,0.0,0.0
F_CL,0.49783549783549785,0.4825396825396825,0.5857142857142857,0.5324675324675324,0.6507936507936508
F_CT,0.49783549783549785,0.5041610436347278,0.03333333333333333,0.6666666666666666,0.017094017094017096
F_DX,0.4767932489451477,0.5079365079365079,0.03125,1.0,0.015873015873015872
F_EC,0.5324675324675324,0.5512946698970321,0.5877862595419847,0.4873417721518987,0.7403846153846154
F_ED,0.5108225108225108,0.5,0.0,0.0,0.0
F_ES,0.5670995670995671,0.504950495049505,0.7222222222222222,0.5652173913043478,1.0
F_FC,0.4935064935064935,0.5017999100044997,0.6309148264984227,0.49019607843137253,0.8849557522123894
F_FV,0.5108225108225108,0.523198977289818,0.39572192513368987,0.5692307692307692,0.30327868852459017
F_GC,0.48917748917748916,0.4655369383092155,0.5902777777777777,0.5379746835443038,0.6538461538461539
F_HG,0.49783549783549785,0.4897584033613446,0.3012048192771084,0.46296296296296297,0.22321428571428573
F_HO,0.5274261603375527,0.5,0.6906077348066298,0.5274261603375527,1.0
F_JY,0.5281385281385281,0.5,0.0,0.0,0.0
F_KC,0.5108225108225108,0.5249474789915967,0.11023622047244094,0.875,0.058823529411764705
F_LB,0.5151515151515151,0.4881937133403519,0.017543859649122806,0.2,0.009174311926605505
F_LC,0.45021645021645024,0.4538023098845059,0.3487179487179487,0.44155844155844154,0.288135593220339
F_LN,0.5108225108225108,0.512396694214876,0.5150214592274678,0.4878048780487805,0.5454545454545454
F_MD,0.5670995670995671,0.5,0.7237569060773481,0.5670995670995671,1.0
F_MP,0.5367965367965368,0.515702479338843,0.6843657817109144,0.5321100917431193,0.9586776859504132
F_NG,0.45021645021645024,0.49126984126984125,0.6092307692307692,0.45,0.9428571428571428
F_NQ,0.5757575757575758,0.5080108359133126,0.711764705882353,0.5931372549019608,0.8897058823529411
F_NR,0.4675324675324675,0.5,0.0,0.0,0.0
F_O,0.46320346320346323,0.4729516806722689,0.225,0.43902439024390244,0.15126050420168066
F_OJ,0.5108225108225108,0.5044984255510572,0.03418803418803419,0.6666666666666666,0.017543859649122806
F_PA,0.5800865800865801,0.47183098591549294,0.7342465753424657,0.600896860986547,0.9436619718309859
F_PL,0.5411255411255411,0.5262387387387387,0.6728395061728395,0.5343137254901961,0.9083333333333333
F_RB,0.5714285714285714,0.5349206349206349,0.7044776119402986,0.5645933014354066,0.9365079365079365
F_RU,0.5584415584415584,0.5200635978195033,0.6927710843373494,0.5609756097560976,0.905511811023622
F_S,0.5281385281385281,0.5306359682015899,0.5725490196078432,0.5140845070422535,0.6460176991150443
F_SB,0.5367965367965368,0.5,0.0,0.0,0.0
F_SF,0.5800865800865801,0.529040404040404,0.2595419847328244,0.53125,0.1717171717171717
F_SI,0.4935064935064935,0.46984126984126984,0.6112956810631229,0.5257142857142857,0.7301587301587301
F_SM,0.5411255411255411,0.5069276196244701,0.24285714285714288,0.4722222222222222,0.16346153846153846
F_TU,0.5194805194805194,0.5,0.0,0.0,0.0
F_TY,0.5714285714285714,0.5667019987886129,0.611764705882353,0.609375,0.6141732283464567
F_US,0.5194805194805194,0.49072531798909746,0.6407766990291262,0.5439560439560439,0.7795275590551181
F_W,0.5281385281385281,0.5210739463026849,0.28758169934640526,0.55,0.19469026548672566
F_XX,0.574468085106383,0.5090740740740741,0.7191011235955057,0.579185520361991,0.9481481481481482
F_YM,0.5844155844155844,0.5045138888888889,0.7333333333333334,0.5866666666666667,0.9777777777777777
F_AX,0.5276595744680851,0.520817816177566,0.5811320754716981,0.6015625,0.5620437956204379
F_CA,0.5914893617021276,0.5128896882494005,0.7318435754189945,0.5981735159817352,0.9424460431654677
F_DT,0.5063829787234042,0.497641161727849,0.5639097744360902,0.5639097744360902,0.5639097744360902
F_UB,0.5191489361702127,0.5259533130346526,0.38918918918918916,0.5625,0.2975206611570248
F_UZ,0.5404255319148936,0.5006926217556139,0.01818181818181818,0.5,0.009259259259259259
F_GS,0.41630901287553645,0.46168753726893264,0.0684931506849315,0.29411764705882354,0.03875968992248062
F_LX,0.5107296137339056,0.4893294934278541,0.6686046511627907,0.5180180180180181,0.9426229508196722
F_SS,0.5450643776824035,0.5,0.0,0.0,0.0
F_DL,0.5,0.5175145954962469,0.27672955974842767,0.5789473684210527,0.18181818181818182
F_ZQ,0.6536796536796536,0.5,0.0,0.0,0.0
F_VX,0.620253164556962,0.5,0.0,0.0,0.0
F_AE,0.5932203389830508,0.5277593452775935,0.7272727272727273,0.5953488372093023,0.9343065693430657
F_BG,0.459915611814346,0.4530380830124091,0.5492957746478874,0.484472049689441,0.6341463414634146
F_BC,0.5569620253164557,0.5200934579439253,0.6902654867256638,0.5598086124401914,0.9
F_LU,0.5384615384615384,0.5,0.0,0.0,0.0
F_DM,0.548936170212766,0.48101503759398495,0.688235294117647,0.585,0.8357142857142857
F_AH,0.5497835497835498,0.5,0.0,0.0,0.0
F_CF,0.48484848484848486,0.4989495798319328,0.6447761194029851,0.484304932735426,0.9642857142857143
F_DZ,0.5384615384615384,0.5057614678899083,0.6949152542372882,0.537117903930131,0.984
F_FB,0.5234042553191489,0.5346527475714078,0.65,0.5048543689320388,0.9122807017543859
F_FL,0.5,0.5508599508599508,0.41025641025641024,0.6956521739130435,0.2909090909090909
F_FM,0.5714285714285714,0.5002685284640173,0.7226890756302521,0.5758928571428571,0.9699248120300752
